industry,sub_industry,company,no_people,growth_rate,job_posts,attrition_rate
IT,IT Software,Cloudera,65,0.032,5,0.266
IT,IT Software,Any Service Company,64,0.455,0,0
IT,IT Software,Qlik,61,-0.047,1,0.176
IT,IT Software,Bentley Systems,58,0.208,1,0.075
IT,IT Software,Quest Software,58,-0.065,0,0.167
IT,IT Software,OutSystems,57,0.163,4,0.038
IT,IT Software,TIBCO,57,0.018,1,0.195
IT,IT Software,Unity Technologies,56,0.143,3,0.114
IT,IT Software,Synopsys Inc,55,0,3,0.091
IT,IT Software,AvePoint,54,0.149,9,0.119
IT,IT Software,Genesys,50,0.02,0,0.02
IT,IT Software,SolarWinds,48,0,0,0.104
IT,IT Software,Thomsons Online Benefits,47,-0.06,0,0.144
IT,IT Software,CyberArk,47,0.27,2,0.143
IT,IT Software,Ramco Systems,47,-0.078,0,0.122
IT,IT Software,i-Sprint Innovations,46,0.045,5,0.089
IT,IT Software,Perx Technologies,46,0.07,8,0.36
IT,IT Software,SAP Ariba,44,-0.12,0,0.17
IT,IT Software,IFS,44,0.1,0,0.167
IT,IT Software,Medisys Innovation Pte Ltd,44,-0.022,0,0.112
IT,IT Software,FICO,43,-0.065,2,0.09
IT,IT Software,BlackBerry,43,0.075,0,0.048
IT,IT Software,Dathena,43,0.344,7,0.24
IT,IT Software,Riverbed Technology,42,-0.045,0,0.209
IT,IT Software,SimCorp,42,0.4,2,0.028
IT,IT Software,SWAT Mobility,41,0.051,0,0.15
IT,IT Software,HReasily,41,0.64,1,0.152
IT,IT Software,EON Reality,41,-0.047,0,0.19
IT,IT Software,Epic,40,0.026,1,0.051
IT,IT Software,Workforce Optimizer - AI Enabled WFM,40,0.143,8,0.24
IT,IT Software,Siemens Digital Industries Software,40,0.081,0,0.104
IT,IT Software,Xero,40,0.212,1,0.164
IT,IT Software,In Mind Cloud,39,0.393,2,0.09
IT,IT Software,Qualtrics,39,0.444,5,0.03
IT,IT Software,Software AG,38,0.027,4,0.133
IT,IT Software,UiPath,38,0,2,0.132
IT,IT Software,Tookitaki,37,-0.075,0,0.182
IT,IT Software,Blue Prism,37,0.121,2,0.086
IT,IT Software,SensorFlow,37,0.028,0,0.466
IT,IT Software,Talend,35,0.522,3,0.103
IT,IT Software,Elastic,35,0,5,0.171
IT,IT Software,Connected Freight,35,0.4,15,0.133
IT,IT Software,Confluent,35,2.182,15,0
IT,IT Software,Hexagon PPM,35,0.25,2,0.063
IT,IT Software,Automation Anywhere,35,-0.375,2,0.835
IT,IT Software,MuleSoft,34,0.259,7,0.066
IT,IT Software,Datadog,34,1.429,3,0.083
IT,IT Software,Cialfo,31,0.292,15,0.109
IT,IT Software,Thought Machine,30,5,0,0
IT,IT Software,Mentor Graphics,29,0,0,0
IT,IT Software,BasisAI,26,0.238,0,0.213
IT,IT Software,Saleswhale,25,-0.375,0,0.492
IT,IT Software,Machine Learning and Data Analytics Lab at NTU EEE,25,3.167,0,0.194
IT,IT Hardware,Seagate Technology,"2,136",0.009,40,3.80%
IT,IT Hardware,"HGST, a Western Digital brand",230,0.40%,0,0.00%
IT,IT Hardware,Western Digital,117,0.009,0,5.20%
IT,IT Hardware,ASUS,108,0.038,2,2.80%
IT,IT Hardware,Creative Labs,82,7.90%,0,2.50%
IT,IT Hardware,Fusion Worldwide,77,0.116,3,6.80%
IT,IT Hardware,Blackmagic Design,77,11.60%,1,8.20%
IT,IT Hardware,Maxtor,65,1.60%,0,0.00%
IT,IT Hardware,Acer,55,0.00%,0,5.50%
IT,IT Hardware,Converge,51,2.00%,0,4.00%
IT,IT Hardware,NVIDIA,47,17.50%,2,9.20%
IT,IT Hardware,Intermec by Honeywell,38,0.027,0,0.00%
IT,IT Hardware,seagate,38,8.60%,0,0.00%
IT,IT Hardware,"Seiko Epson Corporation, Japan",32,0.032,0,0.00%
IT,IT Hardware,Technoprobe,26,0.04,1,0.00%
IT,IT Hardware,Cavu Corp,25,8.70%,0,4.20%
IT,IT Hardware,Xyratex,25,0.00%,0,0.00%
IT,IT Hardware,Advantech,22,0.00%,0,0.00%
IT,IT Hardware,KARL STORZ,22,0.00%,0,0.00%
IT,IT Hardware,NewPower Worldwide,21,0.167,0,15.40%
IT,IT Hardware,Kobian Pte Ltd,17,6.30%,0,6.10%
IT,IT Hardware,Kaira Global,16,0.00%,0,0.00%
IT,IT Hardware,ASUS Technology Pte. Ltd.,10,0.00%,0,
IT,IT Hardware,eSys Technologies,9,0.00%,0,
IT,IT Hardware,Gateway,9,0.00%,0,
IT,IT Hardware,Strontium Technology Pte Ltd,9,0.00%,0,
IT,IT Hardware,SATO Global Business Services Pte. Ltd.,9,28.60%,0,
IT,IT Hardware,JCY HDD Technology Sdn Bhd,7,0.167,0,
IT,IT Hardware,Evolis,6,-14.30%,0,
IT,IT Hardware,Xerox International Partners,6,0.00%,0,
IT,IT Hardware,Dell Global B.V.,6,0.00%,0,
IT,IT Hardware,Nidec Legend Pte Ltd.,6,0.00%,0,
IT,IT Hardware,NCS,5,0.00%,0,
IT,IT Hardware,PCS-CTS,5,0.00%,0,
IT,IT Hardware,Wacom Technology Corp.,5,-16.70%,0,
IT,IT Hardware,Dascom,5,0.00%,0,
IT,IT Hardware,Showa Denko Singapore,5,0.00%,0,
IT,IT Hardware,Galaxy,4,0.00%,0,
IT,IT Hardware,CONVERGENT SYSTEMS LTD.,4,0.00%,0,
IT,IT Hardware,Apple,4,0.00%,0,
IT,IT Hardware,SATO,4,0.00%,0,
IT,IT Hardware,Stealth,4,33.30%,0,
IT,IT Hardware,Acepak Technology Pte. Ltd.,4,0.00%,0,
IT,IT Hardware,SAE,4,0.333,0,
IT,IT Hardware,Elo Touch Solutions,4,33.30%,0,
IT,IT Hardware,Any Incorporated,3,0.00%,0,
IT,IT Hardware,SteelSeries,3,2,0,
IT,IT Hardware,Aftershock PC,3,200.00%,0,
IT,IT Hardware,Calcomp,3,0.00%,0,
IT,IT Hardware,Psion,3,0.00%,0,
IT,IT Hardware,Compal,3,2,0,
IT,IT Hardware,TLC,3,0.00%,0,
IT,IT Hardware,"RealWear, Inc.",3,50.00%,0,
IT,IT Hardware,ARBOR Technology Corp.,3,0.00%,0,
IT,IT Hardware,To be disclosed,3,0.5,0,
IT,IT Hardware,JMC,3,0.00%,0,
IT,IT Hardware,Philips & LiteOn Digital Solutions,3,0.00%,0,
IT,IT Hardware,GIGABYTE,3,0.00%,0,
IT,IT Hardware,ALC Technologies,3,0.00%,0,
IT,IT Hardware,Komag,3,0.00%,0,
IT,IT Hardware,Quanta Computer Inc. 廣達電腦,3,0.00%,0,
IT,IT Hardware,WireSpeed Systems,3,0.00%,0,
IT,IT Hardware,SGI,2,0.00%,0,
IT,IT Hardware,Syntech,2,0.00%,0,
IT,IT Hardware,Kambria,2,-33.30%,0,
IT,IT Hardware,"Microtech Systems, Inc",2,0.00%,0,
IT,IT Hardware,NTU,2,0.00%,0,
IT,IT Hardware,Apple Basic,2,0.00%,0,
IT,IT Hardware,Spectra Logic,2,0.00%,0,
IT,IT Hardware,Blaize,2,0.00%,0,
IT,IT Hardware,CompAsia,2,0.00%,0,
IT,IT Hardware,MCE Inc.,2,0.00%,0,
IT,IT Hardware,LaCie,2,0.00%,0,
IT,IT Hardware,ExaGrid,2,-33.30%,0,
IT,IT Hardware,"Viking Technology, Division of Sanmina",2,100.00%,0,
IT,IT Hardware,TallyGenicom,2,0.00%,0,
IT,IT Hardware,DNF,2,0.00%,0,
IT,IT Hardware,Escon Corp,2,0.00%,0,
IT,IT Hardware,Luidia Inc.,2,0.00%,0,
IT,IT Hardware,"Cooler Master Co., Ltd.",2,0.00%,0,
IT,IT Hardware,Dot Hill Systems,2,0.00%,0,
IT,IT Hardware,AAEON,2,-33.30%,0,
IT,IT Hardware,Showa Denko K.K.,2,0.00%,0,
IT,IT Hardware,Packard Bell,1,0.00%,0,
IT,IT Hardware,Repair Inc.,1,,0,
IT,IT Hardware,Ayar Labs,1,,0,
IT,IT Hardware,Tripp Lite,1,,0,
IT,IT Hardware,Datamarked ApS,1,0.00%,0,
IT,IT Hardware,HP,1,0.00%,0,
IT,IT Hardware,Innovium Inc.,1,,0,
IT,IT Hardware,BEARS & CO,1,0.00%,0,
IT,IT Hardware,Stone Forest,1,,0,
IT,IT Hardware,"CNE Direct, Inc.",1,0.00%,0,
IT,IT Hardware,Zoom,1,,0,
IT,IT Hardware,IT Company,1,,0,
IT,IT Hardware,Tobii Pro,1,0.00%,0,
IT,IT Hardware,Motional,1,,0,
IT,IT Hardware,Thakral One,1,0.00%,0,
IT,IT Hardware,iFixYouri Corp,1,,0,
IT,IT Hardware,Ingram Micro,1,0.00%,0,
IT,Cybersecurity,Ensign InfoSecurity,309,0.08,14,13.40%
IT,Cybersecurity,Palo Alto Networks,230,6.00%,38,11.20%
IT,Cybersecurity,Trustwave,160,26.00%,40,19.50%
IT,Cybersecurity,Fortinet,114,0.163,15,8.50%
IT,Cybersecurity,"FireEye, Inc.",96,-11.90%,16,20.50%
IT,Cybersecurity,McAfee,89,-7.30%,6,18.40%
IT,Cybersecurity,"Check Point Software Technologies, Ltd.",87,10.10%,5,10.80%
IT,Cybersecurity,NETWORK-SECURITY-SOLUTIONS,84,0.00%,0,0.00%
IT,Cybersecurity,Darktrace,55,-8.30%,3,27.80%
IT,Cybersecurity,Horangi Cyber Security,48,-5.90%,14,34.30%
IT,Cybersecurity,Imperva,48,17.10%,5,9.00%
IT,Cybersecurity,RSA Security,45,-11.80%,4,16.70%
IT,Cybersecurity,Netrust Pte Ltd,40,-2.40%,2,7.40%
IT,Cybersecurity,Kaspersky,38,35.70%,1,6.10%
IT,Cybersecurity,Proficio,38,0.056,0,16.20%
IT,Cybersecurity,Pacific Tech Pte Ltd,35,9.40%,3,6.00%
IT,Cybersecurity,Tenable,33,3.10%,1,6.20%
IT,Cybersecurity,SecureAge Technology,33,43.50%,6,3.60%
IT,Cybersecurity,SP Sysnet - ICT Solution Provider,32,6.70%,0,0.00%
IT,Cybersecurity,TOFFS Technologies,31,0.348,0,7.40%
IT,Cybersecurity,D'Crypt Pte Ltd,30,11.10%,2,7.00%
IT,Cybersecurity,Infoblox,29,52.60%,5,20.80%
IT,Cybersecurity,CrowdStrike,26,116.70%,4,5.30%
IT,Cybersecurity,Cyber Youth Singapore,26,36.80%,0,22.20%
IT,Cybersecurity,Sysnet System and Solutions Pte Ltd,24,4.30%,5,4.30%
IT,Cybersecurity,Classified,23,15.00%,0,4.70%
IT,Cybersecurity,Zscaler,22,144.40%,7,6.50%
IT,Cybersecurity,Recorded Future,22,0.222,8,10.00%
IT,Cybersecurity,Exclusive Networks,22,46.70%,0,10.80%
IT,Cybersecurity,Veracode,21,-4.50%,0,14.00%
IT,Cybersecurity,Quantiq International,21,-19.20%,0,21.30%
IT,Cybersecurity,PulseSecure Pte Ltd,20,0.00%,0,0.00%
IT,Cybersecurity,GlobalSign,20,-4.80%,0,19.50%
IT,Cybersecurity,Ground Labs,20,-23.10%,3,30.40%
IT,Cybersecurity,Rapid7,19,-5.00%,0,20.50%
IT,Cybersecurity,Menlo Security Inc.,19,18.80%,2,5.70%
IT,Cybersecurity,Yi-Ke Innovations Pte Ltd,18,38.50%,0,6.50%
IT,Cybersecurity,Acepak Technology Pte. Ltd.,15,50.00%,0,
IT,Cybersecurity,Proofpoint,15,114.30%,4,
IT,Cybersecurity,Scantist,14,27.30%,1,
IT,Cybersecurity,SecureCraft Asia,14,27.30%,0,
IT,Cybersecurity,Pragma Strategy,14,75.00%,1,
IT,Cybersecurity,WatchGuard Technologies,13,18.20%,0,
IT,Cybersecurity,startUP,13,8.30%,0,
IT,Cybersecurity,Mandiant,13,8.30%,0,
IT,Cybersecurity,ReaQta,12,71.40%,0,
IT,Cybersecurity,VMware Carbon Black,12,33.30%,0,
IT,Cybersecurity,MicroSec,12,20.00%,0,
IT,Cybersecurity,wizlynx group,12,50.00%,6,
IT,Cybersecurity,Forescout Technologies Inc.,12,-20.00%,1,
IT,Cybersecurity,Transmex Systems International,12,0.00%,0,
IT,Cybersecurity,HackerOne,11,10.00%,0,
IT,Cybersecurity,Protegrity,10,25.00%,1,
IT,Cybersecurity,SANS Institute,10,0.00%,0,
IT,Cybersecurity,NCS,10,0.00%,0,
IT,Cybersecurity,Identiv,10,42.90%,0,
IT,Cybersecurity,Thales Cloud Security,10,11.10%,0,
IT,Cybersecurity,MWR InfoSecurity,9,-18.20%,0,
IT,Cybersecurity,Falaina,9,12.50%,0,
IT,Cybersecurity,EC-Council,8,0.00%,0,
IT,Cybersecurity,CyberProof,8,14.30%,0,
IT,Cybersecurity,IronNet Cybersecurity,8,100.00%,0,
IT,Cybersecurity,NSHC,8,-27.30%,0,
IT,Cybersecurity,ONESECURE Asia Pte Ltd,7,0.00%,0,
IT,Cybersecurity,ExtraHop,7,0.00%,3,
IT,Cybersecurity,Blackpanda,7,75.00%,2,
IT,Cybersecurity,Dropsuite,7,0.00%,0,
IT,Cybersecurity,ST Engineering,7,-12.50%,0,
IT,Cybersecurity,Mitsui knowledge Industry,6,50.00%,0,
IT,Cybersecurity,SonicWall,6,0.00%,0,
IT,Cybersecurity,NSFOCUS,6,50.00%,0,
IT,Cybersecurity,Armis,6,500.00%,0,
IT,Cybersecurity,Synack Red Team,6,20.00%,0,
IT,Cybersecurity,UPEK,6,0.00%,0,
IT,Cybersecurity,Skybox Security,6,0.00%,0,
IT,Cybersecurity,Cyber Intelligence House,6,-33.30%,0,
IT,Cybersecurity,Claroty,6,100.00%,0,
IT,Cybersecurity,ProSec GmbH,5,0.00%,0,
IT,Cybersecurity,Cybereason,5,0.00%,1,
IT,Cybersecurity,Anomali,5,-16.70%,0,
IT,Cybersecurity,Turnkey Consulting,5,0.00%,0,
IT,Cybersecurity,Confidential,5,0.00%,0,
IT,Cybersecurity,Silverlake MasterSAM,5,0.00%,0,
IT,Cybersecurity,Nexusguard,5,0.00%,0,
IT,Cybersecurity,Digital Shadows,5,0.00%,0,
IT,Cybersecurity,SentinelOne,5,1.5,1,
IT,Cybersecurity,[redacted],4,33.30%,0,
IT,Cybersecurity,CREST,4,0.00%,0,
IT,Cybersecurity,Lookout,4,0.00%,0,
IT,Cybersecurity,Nozomi Networks,3,-25.00%,0,
IT,Cybersecurity,Cobalt.io,3,0.00%,0,
IT,Cybersecurity,Global Resilience Federation,3,50.00%,0,
IT,Cybersecurity,Cloud Security Alliance,3,-25.00%,0,
IT,Cybersecurity,Lucideus,3,0.5,0,
IT,Cybersecurity,Qualys,3,0.00%,4,
IT,Cybersecurity,Sygnia,3,50.00%,0,
IT,Cybersecurity,RAH Infotech Pvt Ltd,2,100.00%,0,
IT,Cybersecurity,"Virgil Security, Inc.",1,0.00%,0,
IT,Cybersecurity,1Kosmos - BlockID,1,,0,
IT,Cybersecurity,RSA Conference,1,0.00%,0,
IT,Telecommunications,Singtel,"5,560",0.054,299,7.20%
IT,Telecommunications,StarHub,"2,195",-2.60%,18,9.70%
IT,Telecommunications,Nokia,984,-1.10%,7,2.90%
IT,Telecommunications,M1 Limited,898,0.002,47,10.50%
IT,Telecommunications,Huawei,730,10.30%,17,9.30%
IT,Telecommunications,AT&T,335,0.047,2,6.70%
IT,Telecommunications,BT,313,-4.30%,2,6.90%
IT,Telecommunications,Rohde & Schwarz,278,0.40%,9,4.00%
IT,Telecommunications,Telstra,240,-4.40%,0,13.40%
IT,Telecommunications,Circles.Life,210,-10.30%,27,43.70%
IT,Telecommunications,Avaya,177,-0.60%,0,1.70%
IT,Telecommunications,Motorola Solutions,174,0.00%,1,6.30%
IT,Telecommunications,Nera Telecommunications Ltd,154,-3.10%,7,15.30%
IT,Telecommunications,MyRepublic,151,-8.50%,1,22.80%
IT,Telecommunications,Telenor,129,0.049,0,7.90%
IT,Telecommunications,Tata Communications,119,-29.20%,2,36.90%
IT,Telecommunications,Sprint,118,0.90%,0,0.00%
IT,Telecommunications,NetLink Trust,115,5.50%,1,7.10%
IT,Telecommunications,VIAVI Solutions,104,-2.80%,0,4.70%
IT,Telecommunications,ViewQwest,102,0.052,8,13.10%
IT,Telecommunications,CommScope,99,2.10%,14,7.10%
IT,Telecommunications,SPTel Pte Ltd,98,11.40%,9,12.90%
IT,Telecommunications,Lantrovision (S) Ltd,96,-1.00%,0,3.10%
IT,Telecommunications,Radiance Communications Pte Ltd,93,-5.10%,0,8.40%
IT,Telecommunications,Amdocs,90,-3.20%,6,12.00%
IT,Telecommunications,Vodafone Business,89,-14.40%,0,19.70%
IT,Telecommunications,Inmarsat,87,1.20%,0,5.80%
IT,Telecommunications,Lucky Joint Construction Pte Ltd,84,0.12,3,2.50%
IT,Telecommunications,NetLink NBN Trust,78,16.40%,0,8.30%
IT,Telecommunications,Orange,68,7.90%,0,4.60%
IT,Telecommunications,Vodafone,66,-5.70%,1,20.60%
IT,Telecommunications,OPPO,62,10.70%,2,10.20%
IT,Telecommunications,TPG,62,21.60%,0,24.80%
IT,Telecommunications,Epsilon Telecommunications,60,-14.30%,0,23.10%
IT,Telecommunications,Poly,59,1.70%,3,10.30%
IT,Telecommunications,Polycom,57,-1.70%,0,3.50%
IT,Telecommunications,Spectrum Audio Visual Pte Ltd,56,-5.10%,0,17.40%
IT,Telecommunications,Pacnet,56,0.00%,0,0.00%
IT,Telecommunications,ZTE Corporation,54,1.90%,0,5.60%
IT,Telecommunications,ROOTS Communications Pte Ltd,53,-7.00%,0,9.10%
IT,Telecommunications,O'Connor's Singapore Pte Ltd,51,-5.60%,1,13.30%
IT,Telecommunications,Sony Mobile Communications,50,-3.80%,0,5.90%
IT,Telecommunications,China Telecom Asia Pacific,50,47.10%,3,2.40%
IT,Telecommunications,NTT Ltd.,49,0.00%,0,0.00%
IT,Telecommunications,Addvalue Innovation Pte Ltd.,49,2.10%,6,2.10%
IT,Telecommunications,Nucleus Connect Pte Ltd,48,-17.20%,0,20.80%
IT,Telecommunications,Nexwave Technologies,46,0.00%,0,4.30%
IT,Telecommunications,Finisar Corporation,46,-6.10%,0,6.30%
IT,Telecommunications,Arkadin,45,0.00%,3,13.30%
IT,Telecommunications,kpn,44,-2.20%,0,2.20%
IT,Telecommunications,GRID Communications Pte Ltd,44,0.073,0,4.70%
IT,Telecommunications,Colt Technology Services,44,2.30%,0,2.30%
IT,Telecommunications,IMCB LTD,41,0.00%,0,0.00%
IT,Telecommunications,CSE Transtel,41,-2.40%,0,2.40%
IT,Telecommunications,Mavenir,41,-2.40%,1,4.80%
IT,Telecommunications,China Mobile International Limited,40,37.90%,0,11.60%
IT,Telecommunications,SES Satellites,40,8.10%,2,7.80%
IT,Telecommunications,ASEAN Cableship Pte Ltd,40,5.30%,0,0.00%
IT,Telecommunications,IPage Telecom,39,0.00%,0,0.00%
IT,Telecommunications,Leap Networks Pte Ltd,38,-7.30%,0,15.20%
IT,Telecommunications,Alcatel-Lucent Enterprise,37,2.80%,0,8.20%
IT,Telecommunications,Beaqon Pte Ltd,37,15.60%,2,8.70%
IT,Telecommunications,Bridge Alliance,36,16.10%,2,0.00%
IT,Telecommunications,Teledata (Singapore) Limited,35,0.00%,0,0.00%
IT,Telecommunications,NETe2 Asia Pte Ltd,35,-2.80%,2,14.10%
IT,Telecommunications,Singapore Airline Limited,34,6.30%,0,3.00%
IT,Telecommunications,Keppel Telecommunications & Transportation,34,0.00%,0,2.90%
IT,Telecommunications,TeleChoice,34,0.00%,0,2.90%
IT,Telecommunications,Princeton Digital Group,33,94.10%,1,4.00%
IT,Telecommunications,Ciena,33,-2.90%,0,9.00%
IT,Telecommunications,Optus,33,6.50%,0,18.80%
IT,Telecommunications,RADUGA PTE LTD,32,-13.50%,0,37.70%
IT,Telecommunications,T-Mobile,32,3.20%,0,0.00%
IT,Telecommunications,AirTrunk,31,34.80%,4,0.00%
IT,Telecommunications,Comba Telecom,31,-3.10%,1,6.30%
IT,Telecommunications,Radio Holland Singapore,30,7.10%,2,3.40%
IT,Telecommunications,S i2i Limited,30,0.00%,0,0.00%
IT,Telecommunications,PCCW GLOBAL Limited,28,-3.40%,0,3.50%
IT,Telecommunications,Eltek AS,28,3.70%,0,0.00%
IT,Telecommunications,Telin (PT Telekomunikasi Indonesia International),27,-15.60%,0,27.10%
IT,Telecommunications,Marlink,27,-6.90%,0,7.10%
IT,Telecommunications,TAKASAGO SINGAPORE PTE LTD,27,0.00%,0,0.00%
IT,Telecommunications,West Unified Communications Services,26,-13.30%,0,14.30%
IT,Telecommunications,Speedcast,26,0.00%,0,11.50%
IT,Telecommunications,RigNet,26,-10.30%,0,14.50%
IT,Telecommunications,IP-TRIBE,25,0.25,0,17.80%
IT,Telecommunications,CITIC Telecom International CPC Limited,25,-10.70%,2,26.40%
IT,Telecommunications,China Telecom Global,25,0.00%,0,24.00%
IT,Telecommunications,Masstron Pte Ltd,24,4.30%,2,8.50%
IT,Telecommunications,Nortel Networks,24,0.00%,0,0.00%
IT,Telecommunications,MessageBird,24,0.00%,4,20.80%
IT,Telecommunications,Vital Shared Services,24,4.30%,0,4.30%
IT,Telecommunications,BICS,24,0.00%,0,0.00%
IT,Telecommunications,Knot Solutions Pvt Ltd - CMMI DEV1.3 & SVC1.3 maturity level 3 appraised organization,23,0.095,1,0.00%
IT,Telecommunications,IX Mobile Pte Ltd,23,-4.20%,1,4.30%
IT,Telecommunications,Kacific Broadband Satellites Group,23,9.50%,1,27.30%
IT,Telecommunications,Globe Telecom,23,4.50%,0,0.00%
IT,Telecommunications,Microtel Technology,22,29.40%,1,0.00%
IT,Telecommunications,VERSITEL PTE LTD,22,0.00%,0,0.00%
IT,Telecommunications,stc,20,5.30%,0,5.10%
IT,Fintech,Standard Chartered Bank,"1,506",0.017,4,7.40%
IT,Fintech,Prudential Assurance Company Singapore,"1,264",3.80%,6,6.30%
IT,Fintech,AIA,"1,240",0.70%,6,6.30%
IT,Fintech,Citi,"1,089",0.005,54,8.00%
IT,Fintech,DBS Bank,"1,035",5.10%,82,10.40%
IT,Fintech,UOB,823,-5.00%,73,11.80%
IT,Fintech,AIA Singapore,784,4.40%,1,5.30%
IT,Fintech,OCBC Bank,644,-2.70%,80,15.20%
IT,Fintech,HSBC,547,-5.50%,0,10.50%
IT,Fintech,EY,547,0.00%,53,15.20%
IT,Fintech,UBS,480,3.00%,14,8.90%
IT,Fintech,JPMorgan Chase & Co.,423,-0.90%,73,5.60%
IT,Fintech,GREAT EASTERN,409,6.00%,18,5.80%
IT,Fintech,PwC Singapore,365,6.10%,33,12.70%
IT,Fintech,Accenture,349,-10.10%,0,19.30%
IT,Fintech,Credit Suisse,337,4.30%,10,8.20%
IT,Fintech,KPMG Singapore,329,-2.70%,1,15.60%
IT,Fintech,AXA,322,-5.00%,2,11.50%
IT,Fintech,Manulife Financial Advisers Pte Ltd,301,9.90%,0,3.10%
IT,Fintech,Professional Investment Advisory Services Pte Ltd,298,0.035,3,3.10%
IT,Fintech,Grab,285,-2.70%,48,20.10%
IT,Fintech,Deutsche Bank,275,-0.40%,0,8.30%
IT,Fintech,J.P. Morgan,251,0.80%,11,5.20%
IT,Fintech,Visa,243,-0.40%,11,9.40%
IT,Fintech,Deloitte,234,-6.80%,8,17.70%
IT,Fintech,"Bank of Singapore, Asia's Global Private Bank",227,0.40%,12,10.60%
IT,Fintech,Manulife,217,-1.40%,16,7.80%
IT,Fintech,IBM,215,-12.20%,4,20.00%
IT,Fintech,Income,207,-4.20%,2,16.50%
IT,Fintech,Google,199,12.40%,4,9.00%
IT,Fintech,Amazon Web Services (AWS),179,42.10%,11,11.10%
IT,Fintech,PwC,173,-7.50%,0,17.80%
IT,Fintech,Maybank,165,3.10%,1,5.50%
IT,Fintech,Great Eastern Financial Advisers Private Limited,164,0.60%,1,4.30%
IT,Fintech,MUFG,158,2.60%,3,9.60%
IT,Fintech,Bank of America Merrill Lynch,157,-3.70%,0,9.40%
IT,Fintech,Shopee,156,57.60%,32,19.60%
IT,Fintech,Aviva,154,-8.30%,0,18.60%
IT,Fintech,Mastercard,147,2.80%,5,9.00%
IT,Fintech,finexis advisory Pte Ltd,144,1.40%,3,8.40%
IT,Fintech,KPMG,137,3.00%,0,14.10%
IT,Fintech,Facebook,136,16.20%,5,6.30%
IT,Fintech,Microsoft,136,5.40%,1,10.60%
IT,Fintech,ANZ,135,-2.20%,1,5.10%
IT,Fintech,Oracle,133,-8.30%,1,18.70%
IT,Fintech,Singtel,132,20.00%,17,21.50%
IT,Fintech,Monetary Authority of Singapore (MAS),131,11.00%,2,6.40%
IT,Fintech,National University of Singapore,130,28.70%,2,14.70%
IT,Fintech,BNY Mellon,129,0.80%,7,6.20%
IT,Fintech,SGX,127,-2.30%,5,8.60%
IT,Fintech,BNP Paribas,125,-5.30%,32,14.00%
IT,Fintech,American Express,120,-4.80%,1,8.90%
IT,Fintech,Financial Alliance Pte Ltd,114,4.60%,0,3.60%
IT,Fintech,Goldman Sachs,113,6.60%,10,17.40%
IT,Fintech,PayPal,113,2.70%,21,9.00%
IT,Fintech,IPP Financial Advisers,112,2.80%,0,2.70%
IT,Fintech,Singapore Management University,111,6.70%,0,34.40%
IT,Fintech,Cognizant,108,-1.80%,2,10.10%
